Timestamp,Diff
2013-04-15 10:00:00,2.839
2013-04-15 11:00:00,4.258
2013-04-15 12:00:00,0
2013-04-15 13:00:00,0
2013-04-15 14:00:00,0
2013-04-15 15:00:00,0
2013-04-15 16:00:00,0
2013-04-15 17:00:00,0
2013-04-15 18:00:00,0
2013-04-15 19:00:00,0
2013-04-15 20:00:00,0
2013-04-15 21:00:00,0
2013-04-15 22:00:00,1.419
2013-04-15 23:00:00,0
2013-04-16 00:00:00,11.356
2013-04-16 01:00:00,11.356
2013-04-16 02:00:00,8.517
2013-04-16 03:00:00,1.419
2013-04-16 04:00:00,7.097
2013-04-16 05:00:00,14.195
2013-04-16 06:00:00,17.034
2013-04-16 07:00:00,9.936
2013-04-16 08:00:00,11.356
2013-04-16 08:51:05,0
2013-04-16 09:00:00,11.356
2013-04-16 10:00:00,8.517
2013-04-16 11:00:00,11.356
2013-04-16 12:00:00,15.614
2013-04-16 13:00:00,0
2013-04-16 14:00:00,7.097
2013-04-16 15:00:00,35.487
2013-04-16 16:00:00,0
2013-04-16 17:00:00,15.614
2013-04-16 18:00:00,9.936
2013-04-16 19:00:00,42.585
2013-04-16 20:00:00,0
2013-04-16 21:00:00,12.775
2013-04-16 22:00:00,9.936
2013-04-16 23:00:00,8.517
2013-04-17 00:00:00,15.614
2013-04-17 01:00:00,4.258
2013-04-17 02:00:00,4.258
2013-04-17 03:00:00,9.936
2013-04-17 04:00:00,5.678
2013-04-17 05:00:00,8.517
2013-04-17 06:00:00,9.936
2013-04-17 07:00:00,14.195
2013-04-17 08:00:00,1.419
2013-04-17 09:00:00,9.936
2013-04-17 10:00:00,12.775
2013-04-17 11:00:00,4.258
2013-04-17 12:00:00,12.775
2013-04-17 13:00:00,0
2013-04-17 14:00:00,12.775
2013-04-17 15:00:00,4.258
2013-04-17 16:00:00,0
2013-04-17 17:00:00,0
2013-04-17 18:00:00,0
2013-04-17 19:00:00,0
2013-04-17 20:00:00,0
2013-04-17 21:00:00,4.258
2013-04-17 22:00:00,4.258
2013-04-17 23:00:00,5.678
2013-04-18 00:00:00,12.775
2013-04-18 01:00:00,9.936
2013-04-18 02:00:00,12.775
2013-04-18 03:00:00,7.097
2013-04-18 04:00:00,18.453
2013-04-18 05:00:00,19.873
2013-04-18 06:00:00,22.712
2013-04-18 07:00:00,31.229
2013-04-18 08:00:00,41.165
2013-04-18 09:00:00,25.551
2013-04-18 10:00:00,25.551
2013-04-18 11:00:00,7.097
2013-04-18 12:00:00,0
2013-04-18 13:00:00,0
2013-04-18 14:00:00,0
2013-04-18 14:08:36,0
2013-04-18 14:10:58,0
2013-04-18 14:11:08,0
2013-04-18 14:21:18,0
2013-04-18 15:00:00,0
2013-04-18 16:00:00,0
2013-04-18 17:00:00,0
2013-04-18 18:00:00,0
2013-04-18 19:00:00,0
2013-04-18 20:00:00,0
2013-04-18 21:00:00,8.517
2013-04-18 22:00:00,8.517
2013-04-18 23:00:00,19.873
2013-04-19 00:00:00,26.97
2013-04-19 01:00:00,29.809
2013-04-19 02:00:00,29.809
2013-04-19 03:00:00,35.487
2013-04-19 04:00:00,32.648
2013-04-19 05:00:00,29.809
2013-04-19 06:00:00,14.195
2013-04-19 07:00:00,38.326
2013-04-19 08:00:00,45.424
2013-04-19 09:00:00,41.165
2013-04-19 09:18:32,42.585
2013-04-19 09:23:58,8.517
2013-04-19 10:00:00,0
2013-04-19 11:00:00,0
2013-04-19 12:00:00,0
2013-04-19 13:00:00,0
2013-04-19 14:00:00,5.678
2013-04-19 15:00:00,8.517
2013-04-19 16:00:00,4.258
2013-04-19 17:00:00,21.292
2013-04-19 18:00:00,29.809
2013-04-19 19:00:00,19.873
2013-04-19 20:00:00,15.614
2013-04-19 21:00:00,12.775
2013-04-19 22:00:00,4.258
2013-04-19 23:00:00,12.775
2013-04-20 00:00:00,14.195
2013-04-20 01:00:00,9.936
2013-04-20 02:00:00,1.419
2013-04-20 03:00:00,5.678
2013-04-20 04:00:00,12.775
2013-04-20 05:00:00,32.648
2013-04-20 06:00:00,26.97
2013-04-20 07:00:00,28.39
2013-04-20 08:00:00,36.907
2013-04-20 09:00:00,22.712
2013-04-20 10:00:00,7.097
2013-04-20 11:00:00,0
2013-04-20 12:00:00,14.195
2013-04-20 13:00:00,9.936
2013-04-20 14:00:00,1.419
2013-04-20 15:00:00,25.551
2013-04-20 16:00:00,56.78
2013-04-20 17:00:00,21.292
2013-04-20 18:00:00,12.775
2013-04-20 19:00:00,9.936
2013-04-20 20:00:00,7.097
2013-04-20 21:00:00,24.131
2013-04-20 22:00:00,8.517
2013-04-20 23:00:00,25.551
2013-04-21 00:00:00,19.873
2013-04-21 01:00:00,2.839
2013-04-21 02:00:00,1.419
2013-04-21 03:00:00,28.39
2013-04-21 04:00:00,28.39
2013-04-21 05:00:00,31.229
2013-04-21 06:00:00,31.229
2013-04-21 07:00:00,29.809
2013-04-21 08:00:00,35.487
2013-04-21 09:00:00,35.487
2013-04-21 10:00:00,18.453
2013-04-21 11:00:00,9.936
2013-04-21 12:00:00,18.453
2013-04-21 13:00:00,36.907
2013-04-21 14:00:00,41.165
2013-04-21 15:00:00,0
2013-04-21 16:00:00,9.936
2013-04-21 17:00:00,11.356
2013-04-21 18:00:00,15.614
2013-04-21 19:00:00,0
2013-04-21 20:00:00,0
2013-04-21 21:00:00,0
2013-04-21 22:00:00,0
2013-04-21 23:00:00,0
2013-04-22 00:00:00,0
2013-04-22 01:00:00,0
2013-04-22 02:00:00,0
2013-04-22 03:00:00,2.839
2013-04-22 04:00:00,17.034
2013-04-22 05:00:00,15.614
2013-04-22 06:00:00,12.775
2013-04-22 07:00:00,21.292
2013-04-22 08:00:00,34.068
2013-04-22 09:00:00,29.809
2013-04-22 10:00:00,19.873
2013-04-22 11:00:00,29.809
2013-04-22 12:00:00,38.326
2013-04-22 13:00:00,36.907
2013-04-22 14:00:00,31.229
2013-04-22 15:00:00,35.487
2013-04-22 16:00:00,35.487
2013-04-22 17:00:00,0
2013-04-22 18:00:00,0
2013-04-22 19:00:00,7.097
2013-04-22 20:00:00,34.068
2013-04-22 21:00:00,44.004
2013-04-22 22:00:00,39.746
2013-04-22 23:00:00,26.97
2013-04-23 00:00:00,26.97
2013-04-23 01:00:00,29.809
2013-04-23 02:00:00,25.551
2013-04-23 03:00:00,28.39
2013-04-23 04:00:00,28.39
2013-04-23 05:00:00,31.229
2013-04-23 06:00:00,29.809
2013-04-23 07:00:00,31.229
2013-04-23 08:00:00,28.39
2013-04-23 09:00:00,39.746
2013-04-23 10:00:00,38.326
2013-04-23 11:00:00,29.809
2013-04-23 12:00:00,35.487
2013-04-23 12:39:17,0
2013-04-23 13:00:00,29.809
2013-04-23 14:00:00,22.712
2013-04-23 14:43:02,32.648
2013-04-23 15:00:00,7.097
2013-04-23 15:03:30,2.839
2013-04-23 15:05:35,0
2013-04-23 15:05:45,0
2013-04-23 15:08:13,0
2013-04-23 15:13:31,0
2013-04-23 15:13:39,0
2013-04-23 15:13:39,11.356
2013-04-23 15:13:39,11.356
2013-04-23 15:13:59,0
2013-04-23 15:30:33,0
2013-04-23 15:47:41,19.873
2013-04-23 15:50:25,0
2013-04-23 15:50:55,0
2013-04-23 15:51:02,0
2013-04-23 15:51:07,0
2013-04-23 15:51:07,-97.945
2013-04-23 15:51:07,-97.945
2013-04-23 15:51:13,-0
2013-04-23 16:51:07,-136.272
2013-04-23 17:51:07,-195.891
2013-04-23 18:51:07,-147.628
2013-04-23 19:51:07,-120.657
2013-04-23 20:51:07,-177.437
2013-04-23 21:51:07,-158.984
2013-04-23 22:51:07,-163.242
2013-04-23 23:51:07,-153.306
2013-04-24 00:00:00,-144.789
2013-04-24 01:00:00,-176.018
2013-04-24 02:00:00,-156.145
2013-04-24 03:00:00,-218.603
2013-04-24 04:00:00,-194.471
2013-04-24 05:00:00,-173.179
2013-04-24 06:00:00,-166.081
2013-04-24 07:00:00,-139.111
2013-04-24 07:53:45,-149.047
2013-04-24 08:00:00,-366.23
2013-04-24 08:04:54,-300.933
2013-04-24 09:00:00,-124.916
2013-04-24 10:00:00,-167.501
2013-04-24 11:00:00,-143.369
2013-04-24 11:02:31,-0
2013-04-24 12:00:00,220.022
2013-04-24 13:00:00,173.179
2013-04-24 14:00:00,225.7
2013-04-24 15:00:00,112.14
2013-04-24 16:00:00,158.984
2013-04-24 17:00:00,107.882
2013-04-24 18:00:00,171.759
2013-04-24 19:00:00,208.666
2013-04-24 20:00:00,153.306
2013-04-24 21:00:00,147.628
2013-04-24 22:00:00,173.179
2013-04-24 23:00:00,183.115
2013-04-25 00:00:00,151.886
2013-04-25 01:00:00,129.174
2013-04-25 02:00:00,164.662
2013-04-25 03:00:00,177.437
